,amount,amount,amount,calculated_fee,revenue_lost
,sum,mean,count,sum,sum
bank_name,,,,,
Axis Bank,126864475.0,50084.67,2533,2460592.9,3848454.0
Bank of Baroda,56076410.0,51446.25,1090,1112800.92,2092740.0
Canara Bank,53973162.0,49928.92,1081,1051794.65,1848691.0
HDFC Bank,52578609.0,50074.87,1050,1051300.77,1725967.0
ICICI Bank,51369706.0,48370.72,1062,1021991.88,1584277.0
IndusInd Bank,54568305.0,50998.42,1070,1101182.7,1450596.0
Punjab National Bank,52108982.0,48882.72,1066,1029261.34,1536344.0
Yes Bank,51649979.0,49284.33,1048,1017503.83,1548139.0
