,amount,retry_count,revenue_lost,transaction_time_year,transaction_time_month,transaction_time_day,transaction_time_dayofweek,transaction_time_hour,transaction_time_minute,transaction_time_quarter,transaction_time_week,transaction_time_is_weekend,transaction_time_is_month_start,transaction_time_is_month_end,days_since_first_txn,customer_age,customer_txn_count,transaction_score,customer_total_value,customer_avg_transaction,customer_transaction_count,customer_transaction_std,calculated_fee,net_amount,calculated_discount
amount,1.0,0.003361619369165753,0.09331160895001829,,-0.010897838039030055,0.013557856032755425,-0.0006451411272970955,-0.001129426158127032,0.009059586712997536,-0.010317373401717145,-0.00970001490278725,-0.0029714774551022802,-0.00041556536199086215,0.011948804903644444,-0.007222562932549016,-0.007964601822859086,-0.009890668856639152,0.8921149393090582,0.4140282818676084,0.7773597659138277,-0.009890668856639152,0.018849971794086227,0.81163322618039,0.9924037368099786,0.545569753803628
retry_count,0.003361619369165753,1.0,-0.0045919912099541505,,-0.007910507802375835,0.007731376594097701,-0.008467452218913247,-0.004898095648879354,-0.004315414517605262,-0.010645294611067438,-0.007159247135516783,-0.011852321500040078,-0.010642745638868278,0.0019075643577141654,0.01417478671381646,-0.00043829808238052915,-0.009146051569971645,-0.0011184924974058335,-0.010124594130990103,-0.005006774791837438,-0.009146051569971645,0.0101219096984986,0.015158392606771369,0.003228124564806697,0.0025694396928691394
revenue_lost,0.09331160895001829,-0.0045919912099541505,1.0,,-0.0016510935849395867,-0.014839133941402072,0.01176384032640406,0.009262010695837767,-0.017234115042640455,-0.004877371006548957,-0.0031464161931994677,0.02028276044606518,0.005984362037220288,-0.0054145680297823205,-0.004817844385113085,0.01792072799095938,-0.007107989475214707,0.0804500739904303,0.029025730530572003,0.07291357238911654,-0.007107989475214707,0.014951290945024917,0.07087148077584857,0.09157507547367205,0.057909014291322704
transaction_time_year,,,,,,,,,,,,,,,,,,,,,,,,,
transaction_time_month,-0.010897838039030055,-0.007910507802375835,-0.0016510935849395867,,1.0,0.016258805021077117,-0.009630801148553246,0.004245250575680911,0.0037914381062369414,0.9712323476256934,0.9963958749513955,0.0047504582603801375,0.008269447713335543,-0.0036519979058034194,0.5023334223281625,0.0033232934734571777,0.0009660698938558594,-0.009334325589665661,-0.006307231579686881,-0.006574766120216148,0.0009660698938558594,-0.010119332640534488,-0.002340929294713535,-0.013016058232250395,0.009048206110129008
transaction_time_day,0.013557856032755425,0.007731376594097701,-0.014839133941402072,,0.016258805021077117,1.0,0.000794508919035752,-0.011397156064342755,-0.018762436482996556,0.017540617694103804,0.09862598139788296,0.0011083950039310535,-0.3016730106544311,0.3039521415833074,0.059605876116402744,0.014960695201160295,0.012926175626814465,0.017996196614768437,0.01676305280309921,0.01237405144022279,0.012926175626814465,0.0112334729520186,0.0037794700057541563,0.0148867336271259,-0.002357447377334966
transaction_time_dayofweek,-0.0006451411272970955,-0.008467452218913247,0.01176384032640406,,-0.009630801148553246,0.000794508919035752,1.0,-0.01696749645595418,0.0025603660302783693,-0.0018756025839022908,-0.02841371732552674,0.7953093921074151,0.022235211090166067,-0.0041040977516833554,-0.009327151806238285,0.014415730043852815,-0.00462475990448669,-0.0026680312330838885,-0.014475476471676706,-0.0020595220465204093,-0.00462475990448669,0.011367416183191537,0.003410334510480366,-0.0009118576132264787,0.0014983487485438238
transaction_time_hour,-0.001129426158127032,-0.004898095648879354,0.009262010695837767,,0.004245250575680911,-0.011397156064342755,-0.01696749645595418,1.0,0.009255340592280037,0.00501030359919329,0.003624415531372849,-0.011623309552269576,-0.006376797500139866,-0.0053034249527109615,-0.011314212027148876,0.004939252061312305,-0.009798098883599742,-0.00543970631009313,-0.013905601808172753,-0.01458169987350711,-0.009798098883599742,-0.009097785697419442,-0.01248338867407144,-0.0013645270726847243,0.0010438255009708817
transaction_time_minute,0.009059586712997536,-0.004315414517605262,-0.017234115042640455,,0.0037914381062369414,-0.018762436482996556,0.0025603660302783693,0.009255340592280037,1.0,0.006165863313724238,0.0022469228595767984,-0.0010581672058130969,0.014815259674435945,-0.013001329500156311,-0.01206079448973785,-0.022984719928671665,0.008425123894734264,0.011929408026360862,0.006152256789346196,0.009167325288525766,0.008425123894734264,0.0012043896471302645,0.012016392731709303,0.010609015864471251,-0.00608124067091512
transaction_time_quarter,-0.010317373401717145,-0.010645294611067438,-0.004877371006548957,,0.9712323476256934,0.017540617694103804,-0.0018756025839022908,0.00501030359919329,0.006165863313724238,1.0,0.967858477019981,0.006823632678925345,0.005835947718203441,-0.006013585555589049,0.4904568715125839,0.0026801267168461073,0.005219813637144711,-0.006891918713659414,-0.0023672373795975803,-0.006316080426394346,0.005219813637144711,-0.017127511328742594,-0.0012103959592886895,-0.01255915493348136,0.010176580618825015
transaction_time_week,-0.00970001490278725,-0.007159247135516783,-0.0031464161931994677,,0.9963958749513955,0.09862598139788296,-0.02841371732552674,0.003624415531372849,0.0022469228595767984,0.967858477019981,1.0,-0.010214814294176455,-0.017049325673826565,0.021644782212723326,0.5052715794178549,0.004214484459120692,0.002061990399660128,-0.0077652062769677,-0.004637701251427795,-0.005477071270441516,0.002061990399660128,-0.009413957971971731,-0.002079592643685018,-0.011700885260523902,0.008840303886070504
transaction_time_is_weekend,-0.0029714774551022802,-0.011852321500040078,0.02028276044606518,,0.0047504582603801375,0.0011083950039310535,0.7953093921074151,-0.011623309552269576,-0.0010581672058130969,0.006823632678925345,-0.010214814294176455,1.0,0.027529738362542914,0.022396780158750396,-0.0014881306315357304,0.015036043405478755,-0.0007461686822826217,-0.0030013205418245813,-0.007084736032715632,-0.0035865876129184742,-0.0007461686822826217,0.005563648244619069,0.003263850779944034,-0.003583220873266981,0.0026999545691909544
transaction_time_is_month_start,-0.00041556536199086215,-0.010642745638868278,0.005984362037220288,,0.008269447713335543,-0.3016730106544311,0.022235211090166067,-0.006376797500139866,0.014815259674435945,0.005835947718203441,-0.017049325673826565,0.027529738362542914,1.0,-0.03230080041067792,-0.009920333997954325,0.02069786730090169,-0.006734628721881581,-0.0034155006393330415,-0.012678662258076668,-0.018307786212627075,-0.006734628721881581,0.0007134531606520141,-0.0029079840484603015,-0.0016414819286346175,0.008146009064818382
transaction_time_is_month_end,0.011948804903644444,0.0019075643577141654,-0.0054145680297823205,,-0.0036519979058034194,0.3039521415833074,-0.0041040977516833554,-0.0053034249527109615,-0.013001329500156311,-0.006013585555589049,0.021644782212723326,0.022396780158750396,-0.03230080041067792,1.0,0.01848151901079927,0.008112761236565619,0.007766019418532393,0.014222030802628575,0.010968839919991863,0.014113475654653984,0.007766019418532393,0.016818817829852565,0.003349927985396803,0.01263000453393126,0.0012600980101210664
days_since_first_txn,-0.007222562932549016,0.01417478671381646,-0.004817844385113085,,0.5023334223281625,0.059605876116402744,-0.009327151806238285,-0.011314212027148876,-0.01206079448973785,0.4904568715125839,0.5052715794178549,-0.0014881306315357304,-0.009920333997954325,0.01848151901079927,1.0,9.314220995484722e-05,0.439208026749159,0.19197200033323938,0.3515899923017503,-0.0006570059153158974,0.439208026749159,0.007846143302962665,-0.006969916755088802,-0.007778253764276756,0.00021883083432621778
