column_name,data_type,business_meaning,example_value,business_role,expected_format,possible_values,KPI_or_usage,ambiguity_notes
Transaction_ID,object,Unique identifier for a payment transaction.,TXN100001,Primary transaction identifier.,Alphanumeric string (starts with 'TXN'),Unique transaction codes,Transaction tracking and deduplication,None
Customer_ID,object,Identifier representing the customer who initiated the transaction.,C1001,Customer-level join key.,Alphanumeric string (starts with 'C'),Unique customer codes,Customer-level behavior tracking and behavioral segmentation,None
Amount,float64,Monetary value of the payment transaction.,2500.0,Used for revenue and transaction-value analysis.,Positive float or integer,Values greater than 0,"Average Transaction Value, Total Transaction Volume",Currency is assumed to be local currency (INR) but requires confirmation.
Payment_Method,object,Payment channel used by the customer.,UPI,Categorical grouping variable for transaction routing.,Text string (capitalized words),"UPI, Credit Card, Debit Card, Net Banking, Wallet",Payment Method Failure Rate,Contains some casing variation in raw input that needs standardization later.
Bank_Name,object,Bank or financial institution associated with the payment.,HDFC,Categorical grouping variable for acquiring banks.,Text string (short uppercase bank names),"SBI, HDFC, ICICI, Axis, Kotak, Canara, PNB, BOB, Yes Bank, IndusInd",Bank Failure Rate,Can be null if a transaction fails before routing to the partner bank.
Response_Code,object,Code returned by the bank/payment processor describing the transaction outcome.,68,Outcome code for failure categorization.,2-digit alphanumeric code,"00, 12, 51, 54, 55, 96, 08, 68","Failure Distribution, error categorisation",Assumption: Code '00' is Success. Others are failures. Meaning of codes varies slightly by banking partner.
Response_Message,object,Human-readable explanation associated with the response code.,Card Declined,Human-readable error description.,Text string,"Approved, Insufficient Funds, Expired Card, Network Error, Response Timeout, System Error, Card Declined, Invalid Amount",Failure Distribution and customer messaging analysis,Messages are sometimes missing or vary in description for the same error code.
Retry_Count,float64,Number of payment retry attempts associated with the transaction.,4.0,Friction metric.,Numeric integer represented as float,Integers greater than or equal to 0,"Retry Recovery Rate, Payment Friction analysis",Reported as float in raw data due to missing values.
Transaction_Time,object,Timestamp when the original payment transaction occurred.,2026-03-09 23:18,Temporal dimension.,YYYY-MM-DD HH:MM string,Valid datetime strings,"Average Retry Delay, Temporal Trend analysis",Stored as string in raw files; timezone offset is unstated.
Retry_Time,object,Timestamp associated with the retry attempt.,2026-03-09 23:27,Temporal dimension for retries.,YYYY-MM-DD HH:MM string,Valid datetime strings or null (if no retry occurred),Average Retry Delay calculation,Assumption: Represents final retry timestamp. Empty if Retry_Count is 0. Validation required: confirm if it represents the first or last retry attempt.
Final_Status,object,Final outcome of the payment after the transaction and retry process.,Success,Final categorical outcome.,Text string,"Success, Failed, Pending","Payment Success Rate, Retry Recovery Rate",None
Failure_Type,object,Classification of the payment failure based on whether the issue is temporary or permanent.,Temporary,Categorical categorization of transaction failure dynamics.,Text string,"Temporary, Permanent","Failure Distribution, revenue recovery prioritization","Assumption: Temporary failure represents issues like network errors or timeouts that can succeed on retry, while Permanent failure represents issues like insufficient funds. Validation required: confirm categorization rules with payment operations team."
Revenue_Lost,float64,Monetary value associated with a transaction that ultimately represents lost revenue.,0.0,Financial loss metric.,Numeric float,Numeric >= 0,"Revenue Lost, leakage tracking","Assumption: Represents the transaction amount considered unrecovered after final failure. For successful or pending transactions, this value should be 0. Validation required: confirm business definition and logic for revenue loss calculation with finance department."
