transaction_id,customer_id,amount,payment_method,bank_name,response_code,response_message,retry_count,transaction_time,retry_time,final_status,failure_type,revenue_lost,transaction_time_year,transaction_time_month,transaction_time_day,transaction_time_dayofweek,transaction_time_hour,transaction_time_minute,transaction_time_quarter,transaction_time_week,transaction_time_is_weekend,transaction_time_is_month_start,transaction_time_is_month_end,days_since_first_txn,customer_name,customer_segment,customer_age,account_created_time,customer_txn_count,transaction_score,risk_tier,customer_total_value,customer_avg_transaction,customer_transaction_count,customer_transaction_std,customer_first_date,customer_last_date,calculated_fee,net_amount,calculated_discount,anomaly_flag,anomaly_severity,risk_level
TXN100000,C8270,5945.0,Credit Card,Bank of Baroda,68.0,card declined,4.0,2026-03-09 23:18:00,2026-03-09 23:27,Success,Permanent,0.0,2026,3,9,0,23,18,1,11,0,0,0,0,Customer C8270,Bronze,61.0,2025-01-01,1,3.2812264388037193,Low,5945.0,5945.0,1,,2026-03-09 23:18:00,2026-03-09 23:18:00,89.175,5350.5,594.5,Dip,1361697.8164383562,Critical
TXN100001,C1860,64815.0,Credit Card,IndusInd Bank,55.0,invalid amount,1.0,2026-07-21 02:07:00,2026-01-05 19:38,Success,Permanent,0.0,2026,7,21,1,2,7,3,30,0,0,0,0,Customer C1860,Bronze,69.0,2025-01-01,1,38.78964563960794,Medium,64815.0,64815.0,1,,2026-07-21 02:07:00,2026-07-21 02:07:00,972.2249999999999,64815.0,0.0,Dip,1302827.8164383562,Critical
TXN100002,C6390,5712.0,Net Banking,Canara Bank,8.0,card declined,2.0,2026-04-13 09:19:00,2026-04-13 09:30,Pending,Permanent,0.0,2026,4,13,0,9,19,2,16,0,0,0,78,Customer C6390,Bronze,51.0,2025-01-01,3,19.140688615229962,Low,97608.0,32536.0,3,23599.28,2026-01-24 13:17:00,2026-10-04 07:59:00,142.8,5140.8,571.1999999999998,Dip,1361930.8164383562,Critical
TXN100003,C6191,56738.0,Net Banking,HDFC Bank,51.0,expired card,2.0,2026-12-16 06:24:00,2026-12-16 06:26,Success,Permanent,0.0,2026,12,16,2,6,24,4,51,0,0,0,215,Customer C6191,Bronze,27.0,2025-01-01,2,41.91786881125911,Medium,74698.0,37349.0,2,27420.19,2026-05-15 05:48:00,2026-12-16 06:24:00,1418.45,48227.299999999996,8510.700000000004,Dip,1310904.8164383562,Critical
TXN100004,C6734,78222.0,Credit Card,Axis Bank,12.0,approved,3.0,2026-09-27 09:13:00,2026-09-27 09:59,Success,Permanent,0.0,2026,9,27,6,9,13,3,39,1,0,0,0,Customer C6734,Bronze,68.0,2025-01-01,1,46.87630057803468,Medium,78222.0,78222.0,1,,2026-09-27 09:13:00,2026-09-27 09:13:00,1173.33,70399.8,7822.199999999997,Dip,1289420.8164383562,Critical
TXN100005,C7265,4895.0,Debit Card,ICICI Bank,55.0,card declined,1.0,2026-06-10 08:55:00,2026-06-10 09:11,Success,Permanent,0.0,2026,6,10,2,8,55,2,24,0,0,0,140,Customer C7265,Bronze,58.0,2025-01-01,3,18.647901482784622,Low,68649.0,22883.0,3,30119.45,2026-01-21 08:26:00,2026-12-27 17:24:00,97.9,4650.25,244.75,Dip,1362747.8164383562,Critical
TXN100006,C1466,88187.0,Credit Card,ICICI Bank,54.0,network error,2.0,2026-10-02 05:20:00,2026-10-02 05:45,Success,Permanent,0.0,2026,10,2,4,5,20,4,40,0,0,0,0,Customer C1466,Gold,74.0,2025-01-01,1,52.88685599396833,Medium,88187.0,88187.0,1,,2026-10-02 05:20:00,2026-10-02 05:20:00,1322.805,79368.3,8818.699999999997,Dip,1279455.8164383562,Critical
TXN100007,C5426,7970.0,Credit Card,Axis Bank,12.0,system error,4.0,2026-11-06 18:46:00,2026-11-06 18:54,Success,Permanent,0.0,2026,11,6,4,18,46,4,45,0,0,0,132,Customer C5426,Gold,41.0,2025-01-01,3,20.502638853983417,Low,44989.0,14996.33,3,11463.77,2026-06-27 04:42:00,2026-11-06 18:46:00,119.55,7173.0,797.0,Dip,1359672.8164383562,Critical
TXN100008,C6578,63697.0,Debit Card,Axis Bank,55.0,approved,4.0,2026-11-12 02:52:00,2026-11-12 02:59,Success,Permanent,0.0,2026,11,12,3,2,52,4,46,0,0,0,243,Customer C6578,Silver,57.0,2025-01-01,3,54.11530535310381,Medium,199852.0,66617.33,3,18149.57,2026-03-13 06:04:00,2026-11-12 02:52:00,1273.94,57327.3,6369.699999999997,Dip,1303945.8164383562,Critical
TXN100009,C9322,72096.0,Net Banking,ICICI Bank,8.0,expired card,4.0,2026-03-09 14:50:00,2026-03-09 14:53,Success,Permanent,0.0,2026,3,9,0,14,50,1,11,0,0,0,0,Customer C9322,Silver,41.0,2025-01-01,1,43.18130183463181,Medium,72096.0,72096.0,1,,2026-03-09 14:50:00,2026-03-09 14:50:00,1802.4,64886.4,7209.5999999999985,Dip,1295546.8164383562,Critical
