customer_id,txn_count,total_spend,avg_spend,days_active,txn_count_norm,total_spend_norm,behaviour_score,segment
C1001,3,199332.0,66444.0,176,4.081632653061225,99.66583291645823,51.873732784759724,Active
C1002,2,153741.0,76870.5,63,2.0408163265306123,76.85892946473236,39.449872895631486,Low-Activity
C1004,2,98982.0,49491.0,17,2.0408163265306123,49.465732866433214,25.753274596481912,Low-Activity
C1005,1,69501.0,69501.0,0,0.0,34.71785892946473,17.358929464732366,Dormant
C1006,1,50105.0,50105.0,0,0.0,25.015007503751875,12.507503751875937,Dormant
C1007,2,58693.0,29346.5,38,2.0408163265306123,29.311155577788895,15.675985952159754,Dormant
C1009,3,168893.0,56297.666666666664,110,4.081632653061225,84.43871935967984,44.26017600637053,Low-Activity
C1010,1,53426.0,53426.0,0,0.0,26.67633816908454,13.33816908454227,Dormant
C1011,4,216814.0,54203.5,228,6.122448979591836,100.0,53.06122448979592,Active
C1012,2,76940.0,38470.0,58,2.0408163265306123,38.4392196098049,20.240017968167756,Dormant
C1013,1,40930.0,40930.0,0,0.0,20.425212606303152,10.212606303151576,Dormant
C1016,2,38423.0,19211.5,215,2.0408163265306123,19.171085542771387,10.605950934651,Dormant
C1018,3,118200.0,39400.0,73,4.081632653061225,59.079539769884946,31.580586211473086,Low-Activity
C1021,2,104669.0,52334.5,242,2.0408163265306123,52.31065532766384,27.175735827097224,Low-Activity
C1022,2,55000.0,27500.0,255,2.0408163265306123,27.463731865932967,14.75227409623179,Dormant
C1023,1,20990.0,20990.0,0,0.0,10.450225112556279,5.225112556278139,Dormant
C1024,1,61572.0,61572.0,0,0.0,30.751375687843925,15.375687843921963,Dormant
C1025,2,18791.0,9395.5,25,2.0408163265306123,9.350175087543771,5.695495707037192,Dormant
C1026,1,15487.0,15487.0,0,0.0,7.697348674337169,3.8486743371685845,Dormant
C1028,2,107730.0,53865.0,171,2.0408163265306123,53.84192096048024,27.941368643505424,Low-Activity
C1032,1,91994.0,91994.0,0,0.0,45.96998499249625,22.984992496248125,Dormant
C1036,1,15671.0,15671.0,0,0.0,7.7893946973486745,3.8946973486743373,Dormant
C1037,1,73240.0,73240.0,0,0.0,36.58829414707353,18.294147073536767,Dormant
C1038,2,70927.0,35463.5,51,2.0408163265306123,35.4312156078039,18.736015967167255,Dormant
C1039,1,34997.0,34997.0,0,0.0,17.457228614307155,8.728614307153578,Dormant
C1040,1,84717.0,84717.0,0,0.0,42.329664832416206,21.164832416208103,Dormant
C1043,1,10854.0,10854.0,0,0.0,5.379689844922461,2.6898449224612304,Dormant
C1044,1,36015.0,36015.0,0,0.0,17.96648324162081,8.983241620810405,Dormant
C1045,1,50105.0,50105.0,0,0.0,25.015007503751875,12.507503751875937,Dormant
C1048,1,12768.0,12768.0,0,0.0,6.337168584292146,3.168584292146073,Dormant
C1049,1,551.0,551.0,0,0.0,0.22561280640320158,0.11280640320160079,Dormant
C1051,1,19260.0,19260.0,0,0.0,9.5847923961981,4.79239619809905,Dormant
C1052,1,67365.0,67365.0,0,0.0,33.64932466233117,16.824662331165584,Dormant
C1053,1,54530.0,54530.0,0,0.0,27.228614307153578,13.614307153576789,Dormant
C1054,1,81665.0,81665.0,0,0.0,40.802901450725365,20.401450725362682,Dormant
C1055,2,97408.0,48704.0,176,2.0408163265306123,48.678339169584795,25.359577748057703,Low-Activity
