Customer_ID,Customer_Name,Customer_Segment,Customer_Age,Account_Created_Time
C8270,Customer C8270,Bronze,61,2025-01-01
C1860,Customer C1860,Bronze,69,2025-01-01
C6390,Customer C6390,Bronze,51,2025-01-01
C6191,Customer C6191,Bronze,27,2025-01-01
C6734,Customer C6734,Bronze,68,2025-01-01
C7265,Customer C7265,Bronze,58,2025-01-01
C1466,Customer C1466,Gold,74,2025-01-01
C5426,Customer C5426,Gold,41,2025-01-01
C6578,Customer C6578,Silver,57,2025-01-01
C9322,Customer C9322,Silver,41,2025-01-01
C2685,Customer C2685,Silver,73,2025-01-01
C1769,Customer C1769,Bronze,49,2025-01-01
C7949,Customer C7949,Bronze,73,2025-01-01
C3433,Customer C3433,Silver,50,2025-01-01
C6311,Customer C6311,Silver,55,2025-01-01
C6051,Customer C6051,Bronze,61,2025-01-01
C7420,Customer C7420,Gold,74,2025-01-01
C2184,Customer C2184,Bronze,73,2025-01-01
C5555,Customer C5555,Bronze,68,2025-01-01
C4385,Customer C4385,Silver,66,2025-01-01
C7396,Customer C7396,Bronze,51,2025-01-01
C9666,Customer C9666,Bronze,28,2025-01-01
C3558,Customer C3558,Bronze,48,2025-01-01
C8849,Customer C8849,Silver,35,2025-01-01
C3047,Customer C3047,Bronze,40,2025-01-01
C3747,Customer C3747,Silver,39,2025-01-01
C1189,Customer C1189,Bronze,60,2025-01-01
C3734,Customer C3734,Bronze,35,2025-01-01
C4005,Customer C4005,Gold,57,2025-01-01
C5658,Customer C5658,Bronze,64,2025-01-01
C2899,Customer C2899,Gold,58,2025-01-01
C8734,Customer C8734,Bronze,64,2025-01-01
C2267,Customer C2267,Gold,56,2025-01-01
C2528,Customer C2528,Bronze,37,2025-01-01
C4890,Customer C4890,Bronze,62,2025-01-01
C9838,Customer C9838,Bronze,18,2025-01-01
C6393,Customer C6393,Silver,69,2025-01-01
C9792,Customer C9792,Bronze,21,2025-01-01
C9433,Customer C9433,Bronze,41,2025-01-01
C8513,Customer C8513,Bronze,53,2025-01-01
C3612,Customer C3612,Bronze,53,2025-01-01
C8041,Customer C8041,Silver,62,2025-01-01
C7235,Customer C7235,Bronze,19,2025-01-01
C6486,Customer C6486,Silver,45,2025-01-01
C8099,Customer C8099,Silver,43,2025-01-01
C1775,Customer C1775,Silver,40,2025-01-01
C9226,Customer C9226,Bronze,32,2025-01-01
C4152,Customer C4152,Silver,53,2025-01-01
C2585,Customer C2585,Gold,44,2025-01-01
C4943,Customer C4943,Silver,23,2025-01-01
C8555,Customer C8555,Bronze,52,2025-01-01
C4073,Customer C4073,Silver,56,2025-01-01
C2021,Customer C2021,Silver,55,2025-01-01
